"id","create_uid/id","create_date","name","description","write_uid/id","write_date"
"__export__.cash_count_config_line_1","base.user_root","2018-03-23 08:44:08","One Thousand Pesos","1000.0","base.user_root","2018-03-23 08:48:00"
"__export__.cash_count_config_line_2","base.user_root","2018-03-23 08:44:28","Five Hundred Pesos","500.0","base.user_root","2018-03-23 08:48:10"
"__export__.cash_count_config_line_3","base.user_root","2018-03-23 08:44:40","Two Hundred Pesos","200.0","base.user_root","2018-03-23 08:48:28"
"__export__.cash_count_config_line_4","base.user_root","2018-03-23 08:45:29","One Hundred Pesos","100.0","base.user_root","2018-03-23 08:48:36"
"__export__.cash_count_config_line_5","base.user_root","2018-03-23 08:45:42","Fitfy Pesos","50.0","base.user_root","2018-03-23 08:48:45"
"__export__.cash_count_config_line_6","base.user_root","2018-03-23 08:45:55","Twenty Pesos","20.0","base.user_root","2018-03-23 08:48:52"
"__export__.cash_count_config_line_7","base.user_root","2018-03-23 08:46:24","Ten Pesos","10.0","base.user_root","2018-03-23 08:49:01"
"__export__.cash_count_config_line_8","base.user_root","2018-03-23 08:46:24","Five Pesos","5.0","base.user_root","2018-03-23 08:49:01"
"__export__.cash_count_config_line_9","base.user_root","2018-03-23 08:46:40","One Peso","1.0","base.user_root","2018-03-23 08:49:08"
"__export__.cash_count_config_line_10","base.user_root","2018-03-23 08:47:00","Twenty-five cents","0.25","base.user_root","2018-03-23 08:49:36"
"__export__.cash_count_config_line_11","base.user_root","2018-03-23 08:50:00","Ten cents","0.1","base.user_root","2018-03-24 03:41:42"
"__export__.cash_count_config_line_12","base.user_root","2018-03-23 08:50:18","Five cents","0.05","base.user_root","2018-03-24 03:41:15"
"__export__.cash_count_config_line_13","base.user_root","2018-03-23 08:50:18","One cent","0.01","base.user_root","2018-03-24 03:41:15"
