id,category,create_uid/id,create_date,bpt,is_parent,write_uid/id,write_date,name,no_months,parent_id/id,less_perc,bpt_wod,payment_type
payment_config_1,,base.user_root,01/06/2018 0:57,FALSE,FALSE,base.user_root,01/06/2018 0:57,service,0,,0,FALSE,install
payment_config_2,,base.user_root,01/06/2018 0:57,FALSE,FALSE,base.user_root,01/06/2018 0:57,product,0,,0,FALSE,install
payment_config_3,product,base.user_root,01/06/2018 0:57,FALSE,TRUE,base.user_root,01/06/2018 0:57,Lot,0,,0,FALSE,install
payment_config_4,service,base.user_root,01/06/2018 0:57,FALSE,TRUE,base.user_root,01/06/2018 6:52,Interment Service / EIPP,0,,0,FALSE,install
payment_config_5,,base.user_root,01/06/2018 0:57,TRUE,FALSE,base.user_root,01/06/2018 0:57,12 mos,12,payment_config_3,1.03,FALSE,install
payment_config_6,,base.user_root,01/06/2018 0:57,TRUE,FALSE,base.user_root,01/06/2018 0:57,24 mos,24,payment_config_3,1.05,FALSE,install
payment_config_7,,base.user_root,01/06/2018 0:57,TRUE,FALSE,base.user_root,01/06/2018 0:57,36 mos,36,payment_config_3,1.08,FALSE,install
payment_config_8,,base.user_root,01/06/2018 0:57,TRUE,FALSE,base.user_root,01/06/2018 0:57,48 mos,48,payment_config_3,1.1,FALSE,install
payment_config_9,,base.user_root,01/06/2018 0:57,FALSE,FALSE,base.user_root,01/06/2018 0:57,3-months deferred,0,payment_config_3,0.95,FALSE,cash
payment_config_10,,base.user_root,01/06/2018 0:57,TRUE,FALSE,base.user_root,01/06/2018 0:57,12 mons,12,payment_config_4,1,FALSE,install
payment_config_11,,base.user_root,01/06/2018 0:57,TRUE,FALSE,base.user_root,01/06/2018 0:57,24 mons,24,payment_config_4,1.1,FALSE,install
payment_config_12,,base.user_root,01/06/2018 0:57,TRUE,FALSE,base.user_root,01/06/2018 0:57,36 mons,36,payment_config_4,1.14,FALSE,install
payment_config_13,service,base.user_root,01/06/2018 0:57,FALSE,TRUE,base.user_root,01/06/2018 6:53,MM bundle,0,,0,FALSE,install
payment_config_14,,base.user_root,01/06/2018 0:57,FALSE,FALSE,base.user_root,01/06/2018 0:57,4 mos split dp,0,payment_config_3,0.95,FALSE,install
payment_config_15,,base.user_root,01/06/2018 0:57,TRUE,FALSE,base.user_root,01/06/2018 0:57,60 mos,60,payment_config_3,1.2,FALSE,install
